variable,category,n,perc
Education Level,Less than high school degree,36,0.16216216216216217
Education Level,High school graduate,35,0.15765765765765766
Education Level,Associate degree,34,0.15315315315315314
Education Level,Bachelor's degree,31,0.13963963963963963
Education Level,Some college,61,0.2747747747747748
Education Level,Master's degree,15,0.06756756756756757
Education Level,Professional degree,4,0.018018018018018018
Education Level,Doctoral degree,6,0.02702702702702703
Employment Status,Full Time,123,0.5540540540540541
Employment Status,Part Time,36,0.16216216216216217
Employment Status,No regular employment,20,0.09009009009009009
Employment Status,Unemployment,40,0.18018018018018017
Employment Status,NA,3,0.013513513513513514
Gender,Female,101,0.45495495495495497
Gender,Male,121,0.545045045045045
Marital Status,Currently married,98,0.44144144144144143
Marital Status,"Never married, not in a relationship now",68,0.3063063063063063
Marital Status,Not married but currently in a relationship and not living with a partner,20,0.09009009009009009
Marital Status,Not married but currently in a relationship and living with a partner,18,0.08108108108108109
Marital Status,Currently separated or divorced,14,0.06306306306306306
Marital Status,Widowed,1,0.0045045045045045045
Marital Status,NA,3,0.013513513513513514
Birth Year,1979 - 1984,61,0.2747747747747748
Birth Year,1985 - 1989,49,0.22072072072072071
Birth Year,1990 - 1995,30,0.13513513513513514
Birth Year,1996 - 2001,48,0.21621621621621623
Birth Year,Other,34,0.15315315315315314
Annual Income,"$10,000 - $20,000",18,0.08108108108108109
Annual Income,"$20,000 - $35,000",22,0.0990990990990991
Annual Income,"$35,000 - $50,000",50,0.22522522522522523
Annual Income,"$50,000 - $100,000",38,0.17117117117117117
Annual Income,"< $10,000",52,0.23423423423423423
Annual Income,"> $100,000",40,0.18018018018018017
Annual Income,NA,2,0.009009009009009009
Military Status,Veteran,62,0.27927927927927926
Military Status,Service Member,67,0.30180180180180183
Military Status,Civilian,93,0.4189189189189189
Years of Service,10-15 years,11,0.04954954954954955
Years of Service,15-20 years,9,0.04054054054054054
Years of Service,2-4 years,36,0.16216216216216217
Years of Service,20+ years,9,0.04054054054054054
Years of Service,5-10 years,31,0.13963963963963963
Years of Service,< 1 year,16,0.07207207207207207
Years of Service,NA,110,0.4954954954954955
Branch,Air Force,7,0.03153153153153153
Branch,Army,83,0.3738738738738739
Branch,Marine Corps,10,0.04504504504504504
Branch,Navy,13,0.05855855855855856
Branch,Never Served,93,0.4189189189189189
Branch,Other,16,0.07207207207207207
Highest Paygrade Achieved,E-1 to E-3,33,0.14864864864864866
Highest Paygrade Achieved,E-4 to E-6,27,0.12162162162162163
Highest Paygrade Achieved,E-7 to E-9,22,0.0990990990990991
Highest Paygrade Achieved,Never served,116,0.5225225225225225
Highest Paygrade Achieved,O-1 (WO-1) to O-3 (CW-2),13,0.05855855855855856
Highest Paygrade Achieved,O-4 (CWO-3) to O-6 (CW-5),11,0.04954954954954955
Times Deployed,1,21,0.0945945945945946
Times Deployed,2,22,0.0990990990990991
Times Deployed,3,12,0.05405405405405406
Times Deployed,4,6,0.02702702702702703
Times Deployed,5 or more,5,0.02252252252252252
Times Deployed,Not applicable,154,0.6936936936936937
Times Deployed,NA,2,0.009009009009009009
MOS,"Combat Arms (i.e., Infantry, Armor, Field Artillery, Special Forces)",29,0.13063063063063063
MOS,"Combat Service Support (i.e, Quartermaster, Transportation, Finance)",11,0.04954954954954955
MOS,"Combat Support (i.e., Engineer, Military Police including Security Forces, Signal Corps)",29,0.13063063063063063
MOS,"Logistics & Maintenance (Maintenance, Fuels, Logistics, Transportation, Munitions)",7,0.03153153153153153
MOS,Medical - Other,15,0.06756756756756757
MOS,Not Applicable,119,0.536036036036036
MOS,"Operations (i.e., Aircrew, Cyber, Command & Control, Intel, Safety, Weather)",7,0.03153153153153153
MOS,"Support (Cyber Support, Engineering, Force Support, Public Affairs, Security Forces)",5,0.02252252252252252
History of Head Injury,No,67,0.30180180180180183
History of Head Injury,Yes,155,0.6981981981981982
Previous Deployment,No,67,0.30180180180180183
Previous Deployment,Yes,155,0.6981981981981982
